Modelo;Acurácia;Precisão;Recall;F1-score;ROC-AUC
Regressão Logística;"=""0.7948""";"=""0.3684""";"=""0.6562""";"=""0.4719""";"=""0.8639"""
Random Forest;"=""0.9170""";"=""0.8824""";"=""0.4688""";"=""0.6122""";"=""0.9007"""
